iter	Passed	Remaining
697	289206	953802
698	289609	953350
699	290054	953035
700	290541	952858
701	291056	952773
702	291585	952734
703	292023	952394
704	292482	952123
705	292943	951859
706	293374	951494
707	293805	951134
708	294256	950833
709	294743	950652
710	295179	950304
711	295600	949908
712	296069	949663
713	296445	949124
714	296885	948788
715	297320	948436
716	297779	948158
717	298265	947968
718	298724	947691
719	299134	947259
720	299524	946763
721	299994	946521
722	300463	946273
723	300917	945977
724	301392	945749
725	301757	945173
726	302238	944962
727	302687	944650
728	303210	944569
729	303725	944460
730	304142	944048
731	304588	943725
732	304985	943251
733	305471	943049
734	305868	942575
735	306306	942226
736	306723	941812
737	307181	941524
738	307660	941300
739	308070	940864
740	308429	940272
741	308869	939928
742	309389	939827
743	309835	939500
744	310259	939109
745	310694	938748
746	311170	938509
747	311605	938150
748	312056	937837
749	312520	937562
750	313018	937388
751	313453	937025
752	313903	936708
753	314354	936392
754	314801	936065
755	315206	935611
756	315648	935269
757	316049	934805
758	316487	934449
759	316892	933997
760	317345	933688
761	317839	933497
762	318236	933020
763	318622	932513
764	319033	932078
765	319504	931818
766	319956	931504
767	320399	931160
768	320841	930814
769	321310	930548
770	321757	930217
771	322192	929850
772	322628	929486
773	323078	929162
774	323548	928897
775	323991	928551
776	324441	928227
777	324862	927819
778	325240	927291
779	325660	926879
780	326077	926459
781	326599	926340
782	327008	925898
783	327476	925621
784	327956	925379
785	328400	925035
786	328835	924668
787	329301	924385
788	329793	924173
789	330244	923849
790	330674	923465
791	331159	923231
792	331615	922919
793	332083	922640
794	332535	922316
795	333016	922070
796	333408	921579
797	333865	921268
798	334333	920985
799	334714	920466
800	335108	919979
801	335620	919818
802	336071	919486
803	336553	919242
804	337022	918960
805	337498	918699
806	337955	918385
807	338436	918135
808	338914	917876
809	339374	917568
810	339773	917094
811	340262	916864
812	340732	916582
813	341195	916282
814	341592	915803
815	341989	915324
816	342419	914933
817	342841	914524
818	343299	914209
819	343750	913874
820	344139	913373
821	344602	913071
822	344955	912477
823	345350	911994
824	345812	911687
825	346254	911328
826	346701	910981
827	347102	910516
828	347558	910191
829	348011	909860
830	348460	909519
831	348938	909252
832	349379	908891
833	349837	908570
834	350287	908231
835	350747	907915
836	351177	907523
837	351562	907015
838	351995	906629
839	352370	906095
840	352794	905688
841	353189	905205
842	353651	904895
843	354106	904565
844	354558	904230
845	355001	903869
846	355451	903527
847	355918	903227
848	356405	902976
849	356791	902473
850	357220	902076
851	357682	901763
852	358092	901318
853	358486	900834
854	358908	900418
855	359302	899935
856	359681	899414
857	360160	899142
858	360595	898759
859	360996	898294
860	361505	898095
861	361909	897636
862	362285	897107
863	362532	896260
864	362995	895949
865	363397	895484
866	363818	895069
867	364179	894505
868	364646	894201
869	365108	893885
870	365563	893554
871	366032	893252
872	366436	892795
873	366814	892275
874	367277	891959
875	367673	891482
876	368202	891327
877	368658	890994
878	369135	890713
879	369598	890395
880	369986	889898
881	370413	889495
882	370842	889097
883	371351	888891
884	371785	888503
885	372246	888181
886	372685	887806
887	373101	887377
888	373527	886970
889	373919	886483
890	374380	886159
891	374820	885785
892	375220	885319
893	375638	884894
894	376081	884527
895	376452	883992
896	376900	883636
897	377309	883189
898	377766	882854
899	378259	882604
900	378661	882142
901	379174	881938
902	379608	881548
903	380065	881214
904	380516	880864
905	381015	880625
906	381458	880255
907	381957	880017
908	382416	879684
909	382793	879164
910	383291	878919
911	383751	878588
912	384197	878225
913	384612	877791
914	384979	877247
915	385413	876856
916	385843	876457
917	386310	876141
918	386793	875861
919	387182	875369
920	387615	874976
921	388046	874577
922	388449	874115
923	388843	873634
924	389354	873415
925	389804	873061
926	390288	872781
927	390714	872370
928	391205	872106
929	391669	871779
930	392103	871387
931	392483	870874
932	392934	870521
933	393346	870079
934	393818	869771
935	394188	869235
936	394567	868721
937	394926	868163
938	395334	867714
939	395756	867297
940	396216	866959
941	396670	866610
942	397123	866259
943	397568	865891
944	398042	865584
945	398475	865188
946	398880	864732
947	399348	864411
948	399872	864212
949	400322	863853
950	400737	863417
951	401218	863125
952	401684	862800
953	402090	862346
954	402587	862086
955	402993	861631
956	403394	861164
957	403845	860805
958	404274	860400
959	404642	859864
960	405100	859521
961	405517	859090
962	405977	858750
963	406438	858412
964	406889	858052
965	407329	857668
966	407802	857355
967	408254	856997
968	408702	856631
969	409110	856179
970	409564	855825
971	410060	855557
972	410474	855120
973	410894	854694
974	411378	854401
975	411842	854067
976	412364	853852
977	412768	853393
978	413225	853041
979	413598	852518
980	414050	852158
981	414488	851769
982	414918	851364
983	415290	850840
984	415762	850518
985	416224	850178
986	416705	849875
987	417138	849476
988	417585	849104
989	418007	848681
990	418508	848419
991	418930	847997
992	419306	847480
993	419723	847048
994	420213	846762
995	420637	846342
996	421159	846120
997	421651	845838
998	422155	845579
999	422657	845315
1000	423091	844914
1001	423565	844595
1002	423945	844086
1003	424345	843618
1004	424766	843193
1005	425220	842832
1006	425626	842377
1007	425998	841853
1008	426399	841389
1009	426815	840953
1010	427266	840586
1011	427719	840223
1012	428248	840010
1013	428695	839633
1014	429186	839344
1015	429677	839054
1016	430170	838768
1017	430605	838369
1018	431118	838121
1019	431661	837931
1020	432130	837595
1021	432650	837361
1022	433084	836957
1023	433466	836454
1024	433940	836128
1025	434423	835821
1026	434902	835504
1027	435352	835131
1028	435759	834676
1029	436148	834186
1030	436632	833879
1031	437035	833415
1032	437463	833002
1033	437959	832716
1034	438435	832392
1035	438928	832100
1036	439446	831855
1037	439936	831556
1038	440443	831288
1039	440999	831113
1040	441470	830778
1041	441903	830371
1042	442352	829994
1043	442743	829508
1044	443151	829053
1045	443588	828654
1046	444044	828288
1047	444496	827917
1048	444980	827604
1049	445430	827227
1050	445940	826963
1051	446354	826518
1052	446869	826262
1053	447288	825828
1054	447711	825401
1055	448123	824954
1056	448567	824565
1057	449081	824306
1058	449503	823876
1059	450031	823642
1060	450485	823271
1061	450920	822865
1062	451384	822512
1063	451902	822257
1064	452400	821966
1065	452796	821489
1066	453218	821061
1067	453692	820725
1068	454122	820309
1069	454591	819964
1070	455045	819591
1071	455488	819199
1072	455900	818750
1073	456387	818437
1074	456866	818110
1075	457314	817725
1076	457779	817371
1077	458244	817017
1078	458618	816501
1079	459098	816174
1080	459468	815651
1081	459953	815334
1082	460427	814995
1083	460841	814549
1084	461321	814221
1085	461785	813865
1086	462196	813414
1087	462671	813077
1088	463108	812671
1089	463514	812214
1090	463949	811805
1091	464373	811377
1092	464799	810953
1093	465333	810717
1094	465743	810266
1095	466113	809745
1096	466562	809360
1097	467019	808990
1098	467460	808591
1099	467855	808114
1100	468283	807693
1101	468760	807357
1102	469178	806918
1103	469641	806558
1104	470115	806216
1105	470556	805817
1106	470936	805313
1107	471317	804812
1108	471698	804312
1109	472152	803936
1110	472605	803557
1111	473056	803174
1112	473459	802711
1113	473838	802207
1114	474273	801797
1115	474735	801434
1116	475206	801086
1117	475668	800723
1118	476067	800253
1119	476531	799892
1120	476977	799500
1121	477425	799113
1122	477871	798721
1123	478277	798263
1124	478651	797752
1125	479060	797299
1126	479501	796900
1127	479980	796564
1128	480476	796254
1129	480933	795881
1130	481463	795628
1131	482018	795415
1132	482549	795163
1133	483054	794867
1134	483574	794595
1135	484076	794295
1136	484550	793947
1137	485031	793610
1138	485528	793299
1139	485973	792903
1140	486420	792510
1141	486850	792091
1142	487316	791729
1143	487819	791427
1144	488353	791175
1145	488797	790777
1146	489259	790407
1147	489739	790066
1148	490150	789615
1149	490601	789227
1150	491134	788972
1151	491647	788684
1152	492112	788319
1153	492599	787989
1154	493123	787716
1155	493633	787422
1156	494152	787142
1157	494643	786816
1158	495103	786441
1159	495566	786070
1160	496027	785696
1161	496439	785246
1162	496874	784831
1163	497375	784519
1164	497806	784097
1165	498264	783719
1166	498662	783246
1167	499263	783091
1168	499760	782773
1169	500282	782492
1170	500806	782216
1171	501206	781745
1172	501791	781563
1173	502271	781215
1174	502767	780893
1175	503286	780607
1176	503692	780145
1177	504155	779772
1178	504640	779432
1179	505105	779061
1180	505615	778758
1181	506061	778358
1182	506518	777974
1183	506974	777589
1184	507422	777191
1185	507889	776822
1186	508318	776396
1187	508744	775964
1188	509222	775611
1189	509702	775261
1190	510177	774904
1191	510690	774603
1192	511141	774209
1193	511587	773807
1194	512059	773444
1195	512472	772994
1196	512880	772533
1197	513351	772170
1198	513801	771772
1199	514294	771441
1200	514794	771119
1201	515337	770862
